date,revenue_usd_defillama_hl_perps,revenue_usd_defillama_hl_spot,revenue_usd_defillama_hl_core_total,revenue_usd_defillama_hyperliquid_l1_total,buyback_hype_asxn,buyback_usd_asxn_ntl,buyback_avg_price_asxn,hype_close_hyperliquid_api,hype_close_asxn,buyback_to_core_revenue_pct
2026-05-25,1138286,55544,1193830,1341196,17286.98,1076230.56,62.256714,61.111,62.39,90.15
2026-05-26,1850944,70560,1921504,2130505,31505.41,1931355.1,61.302332,59.512,60.226,100.51
2026-05-27,1711710,76087,1787797,1927117,26078.61,1576858.19,60.465577,57.693,60.55,88.2
2026-05-28,1931824,70409,2002233,2152342,33367.53,1940756.76,58.163033,61.518,58.168,96.93
2026-05-29,1787987,100474,1888461,2048692,28338.47,1821481.39,64.275926,64.436,61.783,96.45
2026-05-30,917885,58624,976509,1100722,13975.83,931924.44,66.681151,68.29,64.983,95.43
2026-05-31,1212025,98540,1310565,1454618,17143.48,1192802.41,69.577612,72.049,68.51,91.01
2026-06-01,2742995,152672,2895667,3164972,34647.2,2512562.06,72.518474,73.587,73.056,86.77
2026-06-02,3841524,149208,3990732,4201683,49220.21,3522838.43,71.573007,69.759,74.438,88.28
2026-06-03,3368280,136336,3504616,3798981,42474.53,3079290.68,72.497346,74.511,70.258,87.86
2026-06-04,4268659,203146,4471805,4815861,57808.65,3978710.18,68.825516,64.397,74.186,88.97
2026-06-05,5171243,184606,5355849,5652827,76548.58,4627268.27,60.44878,59.795,64.306,86.4
2026-06-06,1760499,57812,1818311,1958934,28053.06,1644970.96,58.637844,56.523,60.92,90.47
2026-06-07,1977786,52430,2030216,2170216,29443.09,1726268.47,58.630683,59.742,57.135,85.03
2026-06-08,2105331,89636,2194967,2357348,31028.13,1945973.42,62.716426,63.812,61.75,88.66
2026-06-09,2179991,64254,2244245,2377085,33511.02,2021796.31,60.332282,57.782,62.377,90.09
2026-06-10,2171215,71191,2242406,2386887,35537.79,1982907.04,55.79714,53.272,56.473,88.43
2026-06-11,1854798,51248,1906046,2041120,29645.76,1678551.15,56.620277,58.96,53.141,88.06
2026-06-12,1499341,72750,1572091,1704619,26047.51,1557212.95,59.783563,59.268,59.501,99.05
2026-06-13,783565,31379,814944,915948,12700.1,753393.76,59.321877,60.716,59.164,92.45
2026-06-14,1344064,40646,1384710,1499665,11222.13,677885.87,60.406168,63.943,60.886,48.96
2026-06-15,1872912,79266,1952178,2103542,36133.73,2389743.34,66.136082,66.912,63.717,122.41
2026-06-16,1912141,122425,2034566,2227400,24529.14,1784192.1,72.737654,73.562,67.026,87.69
2026-06-17,2198919,84175,2283094,2490752,27632.13,2017140.28,72.999811,71.113,73.369,88.35
2026-06-18,2073919,90209,2164128,2332217,27356.74,1900042.6,69.454277,68.29,72.1,87.8
2026-06-19,1182599,53019,1235618,1380460,15525.86,1056690.55,68.060033,70.263,67.7,85.52
2026-06-20,852409,29289,881698,999096,11136.33,781245.29,70.15285,70.725,69.251,88.61
2026-06-21,991521,27436,1018957,1126566,12797.8,874230.33,68.310985,66.891,70.325,85.8
2026-06-22,1954146,41112,1995258,2123960,25197.72,1704488.49,67.644552,66.243,67.551,85.43
2026-06-23,1873643,59511,1933154,2053711,26972.49,1714929.13,63.580675,62.138,66.483,88.71
